Ingrediente,Quantita,Unita di misura,Nome Piatto
 Salsa ketchup,50,g,Hot dog
 Maionese,50,g,Hot dog
 Burro,100,g,Torta rustica di patate e cipolle
 Farina 00,200,g,Torta rustica di patate e cipolle
 Acqua ghiacciata,70,ml,Torta rustica di patate e cipolle
 Sale fino,1,pizzico,Torta rustica di patate e cipolle
 Patate,1,kg,Torta rustica di patate e cipolle
 Cipolle bianche medie,2,pezzi,Torta rustica di patate e cipolle
 Burro,100,g,Torta rustica di patate e cipolle
 Sale fino,qb,na,Torta rustica di patate e cipolle
 Pepe bianco,qb,na,Torta rustica di patate e cipolle
 Panna fresca liquida,250,ml,Torta rustica di patate e cipolle
 Uova medie,3,pezzi,Torta rustica di patate e cipolle
 Erba cipollina tritata,2,cucchiai,Torta rustica di patate e cipolle
 Noce moscata grattugiata ,05,Metti dell'ingrediente,Torta rustica di patate e cipolle
 Sale fino,qb,na,Torta rustica di patate e cipolle
 Farina di Kamut,500,g,Pizza di Kamut
 Olio extravergine d'oliva,3,cucchiai,Pizza di Kamut
 Sale fino,10,g,Pizza di Kamut
 Lievito di birra fresco,25,g,Pizza di Kamut
 Miele,1,cucchiaio,Pizza di Kamut
 Acqua,300,ml,Pizza di Kamut
 Mozzarella,500,g,Pizza di Kamut
 Passata di pomodoro,350,ml,Pizza di Kamut
 Origano,qb,na,Pizza di Kamut
 Olio extravergine d'oliva,2,cucchiai,Pizza di Kamut
 Sale fino,qb,na,Pizza di Kamut
 Cipolle bianche,1,pezzi,Trippa alla parmigiana
 Olio extravergine d'oliva,qb,na,Trippa alla parmigiana
 Passata di pomodoro,220,g,Trippa alla parmigiana
 Brodo di carne,200,g,Trippa alla parmigiana
 Parmigiano Reggiano DOP da grattugiare,100,g,Trippa alla parmigiana
 Sale fino,qb,na,Trippa alla parmigiana
 Pepe nero,qb,na,Trippa alla parmigiana
 Costine di maiale (o puntine),800,g,Casoela
 Cotenna di suino,200,g,Casoela
 Carne di suino 1 piedino,550,g,Casoela
 Carne di suino orecchio,350,g,Casoela
 Verzini (o salamini),330,g,Casoela
 Salsiccia,500,g,Casoela
 Verza,1,kg,Casoela
 Sedano,60,g,Casoela
 Carote,60,g,Casoela
 Cipolle,120,g,Casoela
 Passata di pomodoro,130,g,Casoela
 Brodo di carne,200,g,Casoela
 Sale fino,qb,na,Casoela
 Pepe nero,qb,na,Casoela
 Olio extravergine d'oliva,50,g,Casoela
 Burro,50,g,Casoela
 Zucca pulita,800,g,Curry vegetariano con zucca e ceci
 Ceci secchi,200,g,Curry vegetariano con zucca e ceci
 Olio extravergine d'oliva,50,g,Curry vegetariano con zucca e ceci
 Paprika piccante,05,Metti dell'ingrediente,Curry vegetariano con zucca e ceci
 Curry,05,Metti dell'ingrediente,Curry vegetariano con zucca e ceci
 Curcuma in polvere,05,Metti dell'ingrediente,Curry vegetariano con zucca e ceci
 Cipolle rosse,80,g,Curry vegetariano con zucca e ceci
 Aglio,1,spicchio,Curry vegetariano con zucca e ceci
 Brodo vegetale,50,g,Curry vegetariano con zucca e ceci
 Acqua,50,g,Curry vegetariano con zucca e ceci
 Vino bianco,40,g,Curry vegetariano con zucca e ceci
 Timo,4,rametti,Curry vegetariano con zucca e ceci
 Sale fino,qb,na,Curry vegetariano con zucca e ceci
 Pepe nero,qb,na,Curry vegetariano con zucca e ceci
 Riso Basmati,240,g,Curry vegetariano con zucca e ceci
 Cipolle,40,g,Curry vegetariano con zucca e ceci
 Chiodi di garofano,9,pezzi,Curry vegetariano con zucca e ceci
 Olio extravergine d'oliva,40,g,Curry vegetariano con zucca e ceci
 Acqua calda,600,g,Curry vegetariano con zucca e ceci
 Cannella in stecche,1,pezzi,Curry vegetariano con zucca e ceci
 Sale fino,qb,na,Curry vegetariano con zucca e ceci
 Pepe nero,qb,na,Curry vegetariano con zucca e ceci
 Lenticchie secche,250,g,Lenticchie e salsiccia
 Passata di pomodoro,250,g,Lenticchie e salsiccia
 Salsiccia,450,g,Lenticchie e salsiccia
 Vino bianco,50,g,Lenticchie e salsiccia
 Acqua,500,g,Lenticchie e salsiccia
 Sedano,1,costa,Lenticchie e salsiccia
 Carote,1,pezzi,Lenticchie e salsiccia
 Cipolle,05,Metti dell'ingrediente,Lenticchie e salsiccia
 Rosmarino,2,rametti,Lenticchie e salsiccia
 Salvia,4,foglie,Lenticchie e salsiccia
 Sale fino,qb,na,Lenticchie e salsiccia
 Pepe nero,qb,na,Lenticchie e salsiccia
 Olio extravergine d'oliva,30,g,Lenticchie e salsiccia
 Germogli di soia,150,g,Spaghetti di soia all'orientale
 Spaghetti di soia,250,g,Spaghetti di soia all'orientale
 Salsa di soia (leggermente salata),10,g,Spaghetti di soia all'orientale
 Peperoni rossi,1,pezzi,Spaghetti di soia all'orientale
 Carote,1,pezzi,Spaghetti di soia all'orientale
 Petto di pollo,600,g,Spaghetti di soia all'orientale
 Cipollotto fresco,1,pezzi,Spaghetti di soia all'orientale
 Scorza di lime,05,Metti dell'ingrediente,Spaghetti di soia all'orientale
 Peperoncino dolce,1,pezzi,Spaghetti di soia all'orientale
 Olio extravergine d'oliva,qb,na,Spaghetti di soia all'orientale
 Sale grosso,qb,na,Spaghetti di soia all'orientale
 Acqua (tiepida),1,cucchiaio,Spaghetti di soia all'orientale
 Fave secche decorticate,400,g,Fave e cicorie selvatiche
 Cicoria selvatica,400,g,Fave e cicorie selvatiche
 Alloro,3,foglie,Fave e cicorie selvatiche
 Olio extravergine d'oliva,qb,na,Fave e cicorie selvatiche
 Sale fino,qb,na,Fave e cicorie selvatiche
 Acqua,qb,na,Fave e cicorie selvatiche
 Farina 00,250,g,Gyros
 Farina Manitoba,250,g,Gyros
 Acqua,300,ml,Gyros
 Lievito di birra secco,4,g,Gyros
 Sale fino,12,g,Gyros
 Malto,05,Metti dell'ingrediente,Gyros
 Olio extravergine d'oliva,30,g,Gyros
 Olio extravergine d'oliva,3,cucchiai,Gyros
 Lattuga iceberg,200,g,Gyros
 Pepe nero,qb,na,Gyros
 Cipolle bianche,1,pezzi,Gyros
 Lonza di maiale,1,kg,Gyros
 Pomodori ramati,200,g,Gyros
 Patate fritte congelate,400,g,Gyros
 Cetrioli,1,pezzi,Gyros
 Aceto di vino bianco,2,cucchiai,Gyros
 Aglio,4,spicchi,Gyros
 Aneto,3,rametti,Gyros
 Yogurt greco,400,g,Gyros
 Olio extravergine d'oliva,4,cucchiai,Gyros
 Sale fino,qb,na,Gyros
 cotto),120,g,Uramaki
 Alga nori (da 19x21 cm),1,pezzi,Uramaki
 Maionese,qb,na,Uramaki
 Avocado,20,g,Uramaki
 Semi di sesamo misti,qb,na,Uramaki
 gii cotta),15,g,Uramaki
 Zenzero sott'aceto,qb,na,Uramaki
 Wasabi,qb,na,Uramaki
 Strutto,75,g,Crescione
 Farina 00,500,g,Crescione
 Bicarbonato,2,g,Crescione
 Sale fino,6,g,Crescione
 Acqua (tiepida),200,ml,Crescione
 Spinaci,250,g,Crescione
 Bietole,250,g,Crescione
 Cipolle bianche (grossa),1,pezzi,Crescione
 Olio extravergine d'oliva,20,g,Crescione
 Sale fino,1,pizzico,Crescione
 Pepe nero,qb,na,Crescione
 Patate,400,g,Crescione
 Luganega,200,g,Crescione
 Sale fino,1,pizzico,Crescione
 Pepe nero,qb,na,Crescione
 Mozzarella,125,g,Crescione
 Passata di pomodoro,200,ml,Crescione
 Olio extravergine d'oliva,20,g,Crescione
 Origano,1,spicchio,Crescione
 Sale fino,1,pizzico,Crescione
 Cous cous precotto,250,g,Couscous con piselli e gamberi
 Acqua,270,ml,Couscous con piselli e gamberi
 Olio extravergine d'oliva,2,cucchiai,Couscous con piselli e gamberi
 Scorza di limone,1,pezzi,Couscous con piselli e gamberi
 Sale fino,qb,na,Couscous con piselli e gamberi
 Pepe nero,qb,na,Couscous con piselli e gamberi
 Burro,30,g,Couscous con piselli e gamberi
 Gamberi,300,g,Couscous con piselli e gamberi
 Pisellini,300,g,Couscous con piselli e gamberi
 Olio extravergine d'oliva,6,cucchiai,Couscous con piselli e gamberi
 Pomodori ramati,1,pezzi,Couscous con piselli e gamberi
 Cipolle bianche,05,Metti dell'ingrediente,Couscous con piselli e gamberi
 Scorza di limone,05,Metti dell'ingrediente,Couscous con piselli e gamberi
 Timo,1,rametto,Couscous con piselli e gamberi
 Maggiorana,1,rametto,Couscous con piselli e gamberi
 Farina di riso,350,g,Pizza senza glutine
 Amido di mais (maizena),250,g,Pizza senza glutine
 Miele,05,Metti dell'ingrediente,Pizza senza glutine
 Acqua,350,ml,Pizza senza glutine
 Sale fino,10,g,Pizza senza glutine
 Lievito di birra fresco,25,g,Pizza senza glutine
 Olio extravergine d'oliva,2,cucchiai,Pizza senza glutine
 Mozzarella fiordilatte,500,g,Pizza senza glutine
 Passata di pomodoro,350,ml,Pizza senza glutine
 Sale fino,qb,na,Pizza senza glutine
 Basilico,qb,na,Pizza senza glutine
 Olio extravergine d'oliva,2,cucchiai,Pizza senza glutine
 Origano,qb,na,Pizza senza glutine
 Olio extravergine d'oliva,qb,na,Pizza senza glutine
 Tacos,8,pezzi,Tacos con carne
 Manzo magatello,500,g,Tacos con carne
 Cipolle dorate,100,g,Tacos con carne
 Birra chiara,330,g,Tacos con carne
 Olio extravergine d'oliva,10,g,Tacos con carne
 Olio extravergine d'oliva,25,g,Tacos con carne
 Cumino in polvere,1,cucchiaio,Tacos con carne
 Coriandolo in polvere,1,cucchiaio,Tacos con carne
 Paprika affumicata,1,cucchiaio,Tacos con carne
 Sale fino,1,cucchiaio,Tacos con carne
 Pepe nero,1,cucchiaio,Tacos con carne
 Pomodori ramati,200,g,Tacos con carne
 Cipollotto fresco,40,g,Tacos con carne
 Peperoncino verde piccante,10,g,Tacos con carne
 Prezzemolo,1,mazzetto,Tacos con carne
 Olio extravergine d'oliva,40,g,Tacos con carne
 Succo di lime,20,g,Tacos con carne
 Sale fino,qb,na,Tacos con carne
 Panna acida,100,g,Tacos con carne
 Yogurt greco,50,g,Tacos con carne
 Tabasco,qb,na,Tacos con carne
 Farina di mais,500,g,Polenta
 Acqua,2,l,Polenta
 Olio extravergine d'oliva,15,g,Polenta
 Sale grosso,1,cucchiaio,Polenta
 cotto),60,g,Hosomaki
 pulito e rifilato),40,g,Hosomaki
 Alga nori (da 19x21 cm),1,pezzi,Hosomaki
 Wasabi,qb,na,Hosomaki
 Zenzero sott'aceto,qb,na,Hosomaki
 Cous cous precotto,200,g,Couscous alla marocchina
 Sale fino,1,pizzico,Couscous alla marocchina
 Cosciotto d'agnello (la polpa),1,kg,Couscous alla marocchina
 Cipolle bianche,80,g,Couscous alla marocchina
 Zenzero fresco,30,g,Couscous alla marocchina
 Carote,160,g,Couscous alla marocchina
 Zucchine,300,g,Couscous alla marocchina
 Uva passa,50,g,Couscous alla marocchina
 Ceci precotti,100,g,Couscous alla marocchina
 Prezzemolo,qb,na,Couscous alla marocchina
 Olio extravergine d'oliva,qb,na,Couscous alla marocchina
 Sale fino,qb,na,Couscous alla marocchina
 Cipolle bianche,80,g,Couscous alla marocchina
 Carote,130,g,Couscous alla marocchina
 Cannella in stecche,1,pezzi,Couscous alla marocchina
 Sale grosso,10,g,Couscous alla marocchina
 Pepe nero in grani,3,g,Couscous alla marocchina
 Acqua,2,l,Couscous alla marocchina
 Farina di frumento raffinata,330,g,Baozi
 Acqua a temperatura ambiente,150,g,Baozi
 Zucchero,80,g,Baozi
 Lievito di birra secco,6,g,Baozi
 Maiale macinato (pancia di maialino),250,g,Baozi
 Cavolo cinese,100,g,Baozi
 Cipollotto fresco,1,pezzi,Baozi
 Zenzero fresco,10,g,Baozi
 Salsa di soia,20,g,Baozi
 Zucchero,15,g,Baozi
 Olio di sesamo,10,g,Baozi
 Sale fino,10,g,Baozi
 Pepe nero,1,pizzico,Baozi
 Fagioli cannellini secchi,350,g,Ribollita
 Olio extravergine d'oliva,20,g,Ribollita
 Aglio,1,spicchio,Ribollita
 Rosmarino,1,rametto,Ribollita
 Acqua,2,l,Ribollita
 Sale fino,qb,na,Ribollita
 Pepe nero,qb,na,Ribollita
 Verza,250,g,Ribollita
 Cavolo nero,300,g,Ribollita
 Bietole,300,g,Ribollita
 Pane raffermo,220,g,Ribollita
 Olio extravergine d'oliva,25,g,Ribollita
 Pomodori pelati,180,g,Ribollita
 Patate,1,pezzi,Ribollita
 Cipolle,80,g,Ribollita
 Carote,80,g,Ribollita
 Sedano,100,g,Ribollita
 Pepe nero,qb,na,Ribollita
 Sale fino,qb,na,Ribollita
 Peperoncino secco,qb,na,Ribollita
 Timo fresco,qb,na,Ribollita
 Spaghetti di riso,200,g,Spaghetti di riso con carne e verdure
 Fettine di manzo,300,g,Spaghetti di riso con carne e verdure
 Funghi champignon,150,g,Spaghetti di riso con carne e verdure
 Zucchine con fiori,350,g,Spaghetti di riso con carne e verdure
 Carote,300,g,Spaghetti di riso con carne e verdure
 Germogli di soia,100,g,Spaghetti di riso con carne e verdure
 Salsa di soia,2,cucchiai,Spaghetti di riso con carne e verdure
 Zenzero,8,g,Spaghetti di riso con carne e verdure
 Peperoncino,1,pezzi,Spaghetti di riso con carne e verdure
 Cipollotto fresco,1,pezzi,Spaghetti di riso con carne e verdure
 Olio di semi di girasole,4,cucchiai,Spaghetti di riso con carne e verdure
 Brodo vegetale,500,ml,Spaghetti di riso con carne e verdure
 Riso Carnaroli,300,g,Tiella barese
 Cozze,500,g,Tiella barese
 Patate,500,g,Tiella barese
 Aglio,2,spicchi,Tiella barese
 Prezzemolo,30,g,Tiella barese
 Acqua,300,ml,Tiella barese
 Pomodori ramati,3,pezzi,Tiella barese
 Cipolle bianche,05,Metti dell'ingrediente,Tiella barese
 Parmigiano Reggiano DOP,50,g,Tiella barese
 Pangrattato,30,g,Tiella barese
 Olio extravergine d'oliva,5,cucchiai,Tiella barese
 Sale fino,qb,na,Tiella barese
 Pepe nero,qb,na,Tiella barese
 Petto di pollo,600,g,Pollo e gamberi al curry con riso basmati
 Gamberi le code,350,g,Pollo e gamberi al curry con riso basmati
 Curry,2,cucchiai,Pollo e gamberi al curry con riso basmati
 Olio extravergine d'oliva,60,g,Pollo e gamberi al curry con riso basmati
 Cipolle,1,pezzi,Pollo e gamberi al curry con riso basmati
 Sedano,2,pezzi,Pollo e gamberi al curry con riso basmati
 Carote,2,pezzi,Pollo e gamberi al curry con riso basmati
 Yogurt greco,200,g,Pollo e gamberi al curry con riso basmati
 Sale fino,qb,na,Pollo e gamberi al curry con riso basmati
 Acqua calda,qb,na,Pollo e gamberi al curry con riso basmati
 Riso Basmati,240,g,Pollo e gamberi al curry con riso basmati
 Cipolle,05,Metti dell'ingrediente,Pollo e gamberi al curry con riso basmati
 Chiodi di garofano,8,pezzi,Pollo e gamberi al curry con riso basmati
 Olio extravergine d'oliva,40,g,Pollo e gamberi al curry con riso basmati
 Sale fino,qb,na,Pollo e gamberi al curry con riso basmati
 Acqua calda,600,g,Pollo e gamberi al curry con riso basmati
 Patate di medie dimensioni,3,pezzi,Zuppa di patate e borlotti
 Fagioli borlotti secchi,250,g,Zuppa di patate e borlotti
 Pancetta affumicata,80,g,Zuppa di patate e borlotti
 Carote,1,pezzi,Zuppa di patate e borlotti
 Cipolle bianche,1,pezzi,Zuppa di patate e borlotti
 Sedano,1,costa,Zuppa di patate e borlotti
 Salvia,4,foglie,Zuppa di patate e borlotti
 Prezzemolo,1,ciuffo,Zuppa di patate e borlotti
 Aglio,1,spicchio,Zuppa di patate e borlotti
 Olio extravergine d'oliva,4,cucchiai,Zuppa di patate e borlotti
 Sale fino,qb,na,Zuppa di patate e borlotti
 Pepe nero,qb,na,Zuppa di patate e borlotti
 Grana Padano DOP da grattugiare,qb,na,Zuppa di patate e borlotti
 Olio extravergine d'oliva,qb,na,Zuppa di patate e borlotti
 Burro,40,g,Crespelle alla crema di funghi e fontina
 Farina 00,250,g,Crespelle alla crema di funghi e fontina
 Latte intero,500,g,Crespelle alla crema di funghi e fontina
 Uova,3,pezzi,Crespelle alla crema di funghi e fontina
 Sale fino,1,pizzico,Crespelle alla crema di funghi e fontina
 Burro,25,g,Crespelle alla crema di funghi e fontina
 Farina 00,25,g,Crespelle alla crema di funghi e fontina
 Latte intero,250,g,Crespelle alla crema di funghi e fontina
 Sale fino,1,pizzico,Crespelle alla crema di funghi e fontina
 Noce moscata,1,pizzico,Crespelle alla crema di funghi e fontina
 Funghi champignon champignon,500,g,Crespelle alla crema di funghi e fontina
 Olio extravergine d'oliva,20,g,Crespelle alla crema di funghi e fontina
 Pepe nero,1,pizzico,Crespelle alla crema di funghi e fontina
 Aglio,1,pezzi,Crespelle alla crema di funghi e fontina
 Fontina,200,g,Crespelle alla crema di funghi e fontina
 Farina Manitoba,500,g,Torta rustica
 Latte intero tiepido,125,g,Torta rustica
 Acqua tiepida,125,g,Torta rustica
 Burro,60,g,Torta rustica
 Olio extravergine d'oliva,40,g,Torta rustica
 Lievito di birra secco,4,g,Torta rustica
 Sale fino,10,g,Torta rustica
 Zucchero,5,g,Torta rustica
 Fontina in fette sottili,200,g,Torta rustica
 Speck in fette sottili,150,g,Torta rustica
 Uova,1,pezzi,Torta rustica
 Latte intero,1,cucchiaio,Torta rustica
 Petto di pollo,1,kg,Pollo tikka masala
 Yogurt greco,150,g,Pollo tikka masala
 Zenzero fresco,30,g,Pollo tikka masala
 Garam Masala,5,g,Pollo tikka masala
 Paprika affumicata,3,g,Pollo tikka masala
 Aglio,3,spicchi,Pollo tikka masala
 Succo di lime,05,Metti dell'ingrediente,Pollo tikka masala
 Sale fino,1,pizzico,Pollo tikka masala
 Passata di pomodoro,350,g,Pollo tikka masala
 Panna fresca liquida,50,g,Pollo tikka masala
 Cipolle bianche,1,pezzi,Pollo tikka masala
 Aglio,1,spicchio,Pollo tikka masala
 Peperoncino fresco,1,pezzi,Pollo tikka masala
 Cumino,3,g,Pollo tikka masala
 Paprika affumicata,3,g,Pollo tikka masala
 Curcuma in polvere,3,g,Pollo tikka masala
 Zucchero di canna,20,g,Pollo tikka masala
 Olio extravergine d'oliva,10,g,Pollo tikka masala
 Sale fino,qb,na,Pollo tikka masala
 Coriandolo,qb,na,Pollo tikka masala
 Spaghetti di soia,200,g,Spaghetti di soia con verdure e gamberi
 Gamberi,350,g,Spaghetti di soia con verdure e gamberi
 Peperoni rossi,150,g,Spaghetti di soia con verdure e gamberi
 Peperoni gialli,150,g,Spaghetti di soia con verdure e gamberi
 Asparagi,10,pezzi,Spaghetti di soia con verdure e gamberi
 Cipollotto fresco,1,grande,Spaghetti di soia con verdure e gamberi
 Aglio,2,spicchi,Spaghetti di soia con verdure e gamberi
 Zucchero di canna,05,Metti dell'ingrediente,Spaghetti di soia con verdure e gamberi
 Olio di semi di girasole,4,cucchiai,Spaghetti di soia con verdure e gamberi
 Salsa di soia,4,cucchiai,Spaghetti di soia con verdure e gamberi
 Zenzero fresco,10,g,Spaghetti di soia con verdure e gamberi
 Aceto di mele,1,cucchiaio,Spaghetti di soia con verdure e gamberi
 Brodo vegetale,qb,na,Spaghetti di soia con verdure e gamberi
 Succo d'arancia,1,Tutto l'ingrediente,Spaghetti di soia con verdure e gamberi
 Salsiccia,500,g,Salsiccia e fagioli
 Fagioli borlotti secchi,200,g,Salsiccia e fagioli
 Cipolle dorate,70,g,Salsiccia e fagioli
 Vino rosso,50,g,Salsiccia e fagioli
 Passata di pomodoro,500,g,Salsiccia e fagioli
 Rosmarino,qb,na,Salsiccia e fagioli
 Sale fino,qb,na,Salsiccia e fagioli
 Pepe nero,qb,na,Salsiccia e fagioli
 Olio extravergine d'oliva,qb,na,Salsiccia e fagioli
 Melanzane (3 pezzi),900,g,Melanzane ripiene di riso con cuore filante
 Riso Carnaroli,300,g,Melanzane ripiene di riso con cuore filante
 Vino bianco,50,g,Melanzane ripiene di riso con cuore filante
 Scalogno,50,g,Melanzane ripiene di riso con cuore filante
 Olio extravergine d'oliva,30,g,Melanzane ripiene di riso con cuore filante
 Passata di pomodoro,400,g,Melanzane ripiene di riso con cuore filante
 Sale grosso,1,pizzico,Melanzane ripiene di riso con cuore filante
 Brodo vegetale,500,g,Melanzane ripiene di riso con cuore filante
 Parmigiano Reggiano DOP grattugiato,150,g,Melanzane ripiene di riso con cuore filante
 Scamorza (provola),120,g,Melanzane ripiene di riso con cuore filante
 Basilico,qb,na,Melanzane ripiene di riso con cuore filante
 Sale fino,1,pizzico,Melanzane ripiene di riso con cuore filante
 Pepe nero,1,pizzico,Melanzane ripiene di riso con cuore filante
 Olio di semi di arachide,800,g,Melanzane ripiene di riso con cuore filante
 Tacos,8,pezzi,Tacos veloci
 Salsiccia,500,g,Tacos veloci
 Peperoncino dolce lungo,10,g,Tacos veloci
 Paprika affumicata,1,cucchiaio,Tacos veloci
 Concentrato di pomodoro,1,cucchiaio,Tacos veloci
 Vino rosso,25,ml,Tacos veloci
 Olio extravergine d'oliva,10,g,Tacos veloci
 Pepe nero,qb,na,Tacos veloci
 Pomodorini datterini,150,g,Tacos veloci
 Cipollotto fresco,40,g,Tacos veloci
 Prezzemolo,1,mazzetto,Tacos veloci
 Succo di lime,05,Metti dell'ingrediente,Tacos veloci
 Olio extravergine d'oliva,10,g,Tacos veloci
 Sale fino,qb,na,Tacos veloci
 Panna acida,100,g,Tacos veloci
 Yogurt greco,50,g,Tacos veloci
 Scorza di lime,05,Metti dell'ingrediente,Tacos veloci
 Spinaci freschi,700,g,Gnudi
 Olio extravergine d'oliva,30,g,Gnudi
 Ricotta di pecora,350,g,Gnudi
 Farina 00,45,g,Gnudi
 Aglio,1,spicchio,Gnudi
 Parmigiano Reggiano DOP grattugiato,50,g,Gnudi
 Uova (circa 1),58,g,Gnudi
 Sale fino,qb,na,Gnudi
 Pepe nero,1,pizzico,Gnudi
 Noce moscata,qb,na,Gnudi
 Farina 00,50,g,Gnudi
 Burro,100,g,Gnudi
 Salvia,1,rametto,Gnudi
 Sale fino,1,pizzico,Gnudi
 Pepe nero,1,pizzico,Gnudi
 Parmigiano Reggiano DOP,20,g,Gnudi
 Cous cous precotto,300,g,Couscous ai frutti di mare
 Cozze,1,kg,Couscous ai frutti di mare
 Vongole,1,kg,Couscous ai frutti di mare
 Calamari,500,g,Couscous ai frutti di mare
 Gamberi,400,g,Couscous ai frutti di mare
 Olio extravergine d'oliva,50,g,Couscous ai frutti di mare
 Vino bianco secco,40,g,Couscous ai frutti di mare
 Aglio,3,spicchi,Couscous ai frutti di mare
 Peperoncino fresco,2,pezzi,Couscous ai frutti di mare
 Sale fino,qb,na,Couscous ai frutti di mare
 Pepe nero,qb,na,Couscous ai frutti di mare
 Menta tritata al coltello,qb,na,Couscous ai frutti di mare
 Pomodorini ciliegino,450,g,Couscous ai frutti di mare
 Tortillas di farina medie,4,pezzi,Burrito
 Edamer,120,g,Burrito
 Manzo macinato,400,g,Burrito
 Fagioli neri precotti,350,g,Burrito
 Peperoni rossi,125,g,Burrito
 Passata di pomodoro,250,g,Burrito
 Brodo di carne,250,g,Burrito
 Cipolle bianche,80,g,Burrito
 Cipolle rosse,50,g,Burrito
 Aglio grande,1,spicchio,Burrito
 Peperoncino fresco lungo,05,Metti dell'ingrediente,Burrito
